"";"Bogennummer";"Ort";"Longitude";"Latitude";"Typ"
"127";"23498";"Hemden";"6.59361";"51.87915";"u | ü"
"128";"23507";"Weseke";"6.85711";"51.90792";"u | ü"
"129";"23630";"Evinghoven";"6.69129";"51.07309";"u | ü"
"130";"23817";"Reusrath";"6.974307355";"51.08552788";"u | ü"
"131";"23843";"(Stolzenberg)";"7.21868086";"51.10219986";"u | ü"
"132";"23922";"Helenabrunn";"6.42005";"51.22806";"u | ü"
"133";"24134";"Barmen";"7.19655";"51.27156";"u | ü"
"134";"24156";"Delle";"7.439350364";"51.27752811";"u | ü"
"135";"24218";"Vennikel";"6.6309";"51.39584";"u | ü"
"136";"2426";"Groß Pentlack (Kamenka)";"21.56653326";"54.36655007";"u | ü"
"137";"2436";"Kowarren (Zaozernoye)";"21.82957764";"54.3617094";"u | ü"
"138";"24454";"Berneburg";"9.8863";"51.06005";"u | ü"
"139";"24490";"Züschen";"8.56285";"51.15356";"u | ü"
"140";"24636";"Rhadern";"8.79521";"51.1695";"u | ü"
"141";"2482";"Peterswalde (Piotrowiec)";"20.09813884";"54.30449343";"u | ü"
"142";"24917";"Braunsen";"9.03822";"51.35057";"u | ü"
"143";"24926";"Zierenberg";"9.30371";"51.36918";"u | ü"
"144";"24942";"Speele";"9.56267";"51.37759";"u | ü"
"145";"24959";"Hermannrode";"9.86152";"51.40459";"u | ü"
"146";"25163";"Gottstreu";"9.58599";"51.57712";"u | ü"
"147";"25179";"Esebeck";"9.84441";"51.56385";"u | ü"
"148";"25363";"Schönhagen";"9.55747";"51.68976";"u | ü"
"149";"25560";"Lobach";"9.52332";"51.86619";"u | ü"
"150";"2602";"Maciejowieta";"22.66316";"54.29125";"u | ü"
"151";"26178";"Ohlenberg";"7.27917";"50.58777";"u | ü"
"152";"26578";"Roisdorf";"7.011607837";"50.75523282";"u | ü"
"153";"26627";"Herchen";"7.51208";"50.78124";"u | ü"
"154";"26753";"Horrem";"6.71215";"50.91204";"u | ü"
"155";"2676";"Rygarby";"20.97559";"54.24857";"u | ü"
"156";"27064";"Müsen";"8.05073";"50.98044";"u | ü"
"157";"2746";"Chelchy";"22.3755";"54.1671";"u | ü"
"158";"282";"Zolna";"17.24179";"53.90401";"u | ü"
"159";"28369";"Wiesenthal";"10.16738";"50.70277";"u | ü"
"160";"2900";"Borawskie";"22.62853";"54.10033";"u | ü"
"161";"3058";"Zyndaki";"21.17506";"53.91539";"u | ü"
"162";"312";"Ryman";"15.54345";"53.93552";"u | ü"
"163";"3272";"Gawliki Wielkie";"22.10641";"54.0154";"u | ü"
"164";"3301";"Barschken";"21.20448314";"55.71965786";"u | ü"
"165";"3343";"Karkeln";"21.26894734";"55.19209992";"u | ü"
"166";"3345";"Dünen (Ackmenischken)";"21.42381135";"55.21041379";"u | ü"
"167";"3387";"Sassenhöhe (Augsgirren)";"22.28508079";"55.1405652";"u | ü"
"168";"3516";"Bornum";"10.59503";"52.0891";"u | ü"
"169";"3558";"Beckendorf";"11.15611";"52.09298";"u | ü"
"170";"36282";"Wangenbourg";"7.30732";"48.6228";"u | ü"
"171";"3634";"Berge";"12.79568";"52.62028";"u | ü"
"172";"36348";"Achern";"8.06363";"48.62871";"u | ü"
"173";"3649";"Hermsdorf";"13.31752";"52.6149";"u | ü"
"174";"3677";"Gielsdorf";"13.86407";"52.61048";"u | ü"
"175";"36880";"Bischoffingen";"7.62537";"48.10625";"u | ü"
"176";"36898";"Maleck";"7.88416";"48.12924";"u | ü"
"177";"3871";"Dreetz";"12.46028";"52.80289";"u | ü"
"178";"3880";"Brunne";"12.72901";"52.77304";"u | ü"
"179";"3887";"Sommerfeld";"13.03193";"52.80287";"u | ü"
"180";"3896";"Malz";"13.2942";"52.80213";"u | ü"
"181";"3901";"Stolzenhagen";"14.10557";"52.94874";"u | ü"
"182";"3919";"Trampe";"13.83613";"52.77805";"u | ü"
"183";"40637";"Eschbach";"8.18086";"47.6336";"u | ü"
"184";"40771";"Wollmatingen";"9.146804618";"47.69228556";"u | ü"
"185";"40798";"Obereisenbach";"9.64125";"47.6819";"u | ü"
"186";"40807";"Ratzenried";"9.89935";"47.72211";"u | ü"
"187";"40844";"Münchingen";"8.39596";"47.82501";"u | ü"
"188";"4093";"Kränzlin";"12.74485";"52.92901";"u | ü"
"189";"4102";"Seebeck";"13.01943";"52.93953";"u | ü"
"190";"41057";"Baindt";"9.66279";"47.84325";"u | ü"
"191";"4119";"Gross Dölln";"13.52861";"52.99313";"u | ü"
"192";"4123";"Senftenhütte";"13.85918";"52.933";"u | ü"
"193";"41336";"Kappel";"7.90831";"47.96423";"u | ü"
"194";"4142";"Stoki";"14.35655";"52.94545";"u | ü"
"195";"4152";"Stoleczna";"14.65982";"52.93143";"u | ü"
"196";"41598";"Lörrach";"7.66409";"47.61258";"u | ü"
"197";"4171";"Okunie";"15.23687";"52.94023";"u | ü"
"198";"42821";"Rietli";"9.484246649";"47.36098971";"u | ü"
"199";"42843";"Hohenems";"9.68872";"47.36211";"u | ü"
"200";"42850";"Bizau";"9.92969";"47.36918";"u | ü"
"201";"42856";"Riezlern";"10.18618";"47.35752";"u | ü"
"202";"42908";"Gamprin";"9.51164";"47.21906";"u | ü"
"203";"4293";"Brielow";"12.53709";"52.46053";"u | ü"
"204";"42933";"Buchboden";"9.95159";"47.24486";"u | ü"
"205";"42939";"Lech";"10.14178";"47.20829";"u | ü"
"206";"42970";"Sargans";"9.43609";"47.05023";"u | ü"
"207";"42977";"Schruns";"9.91962";"47.0796";"u | ü"
"208";"4306";"Deetz";"12.77535";"52.44648";"u | ü"
"209";"4321";"Fahrland";"13.01356";"52.46797";"u | ü"
"210";"4329";"Steglitz";"13.31884";"52.45754";"u | ü"
"211";"4338";"Köpenick-Kietz";"13.57597707";"52.44726789";"u | ü"
"212";"4347";"Herzfelde";"13.85729";"52.48105";"u | ü"
"213";"4364";"Döbberin";"14.37014";"52.44265";"u | ü"
"214";"44685";"Neukirch an der Thur";"9.17245";"47.51119";"u | ü"
"215";"44796";"Merzligen";"7.24963";"47.08695";"u | ü"
"216";"44801";"Gals";"7.05094";"47.0286";"u | ü"
"217";"44858";"Anwil";"7.94157";"47.45097";"u | ü"
"218";"45192";"Mülchi";"7.47711";"47.10073";"u | ü"
"219";"45195";"Eigenthal";"8.21008";"47.00992";"u | ü"
"220";"4527";"Rädel";"12.74891";"52.28544";"u | ü"
"221";"45279";"Hildisrieden";"8.22909";"47.15072";"u | ü"
"222";"45312";"Bleuen";"7.75229";"47.11468";"u | ü"
"223";"45345";"Dielsdorf";"8.45336";"47.48282";"u | ü"
"224";"4539";"Wildenbruch";"13.06389";"52.28482";"u | ü"
"225";"45474";"Boden bei Fischenthal";"8.933650889";"47.34867219";"u | ü"
"226";"4549";"Löwenbruch";"13.31588";"52.29388";"u | ü"
"227";"45492";"Dicken bei Degersheim";"9.19226";"47.33685";"u | ü"
"228";"45529";"Riedikon";"8.7118";"47.33293";"u | ü"
"229";"45611";"Feusisberg";"8.74759";"47.18729";"u | ü"
"230";"45627";"Starkenbach";"9.24974";"47.18569";"u | ü"
"231";"45630";"Risch";"8.46603";"47.13414";"u | ü"
"232";"45644";"Reichenburg";"8.97469";"47.17031";"u | ü"
"233";"45694";"Courlevon";"7.11169";"46.89102";"u | ü"
"234";"45716";"Brünisried";"7.27905";"46.75873";"u | ü"
"235";"45734";"Dentenberg";"7.53639";"46.9425";"u | ü"
"236";"45758";"Mutten";"9.50106";"46.67764";"u | ü"
"237";"45764";"Oberfrittenbach";"7.77862";"46.95165";"u | ü"
"238";"45784";"Schüpfheim";"8.01947";"46.95361";"u | ü"
"239";"45962";"Entschwil";"7.55173";"46.61887";"u | ü"
"240";"46017";"Gersau";"8.52515";"46.99078";"u | ü"
"241";"46021";"Illgau";"8.72369";"46.98729";"u | ü"
"242";"46026";"Engi";"9.15179";"46.98481";"u | ü"
"243";"46051";"Camana";"9.2905";"46.66809";"u | ü"
"244";"46055";"Nufenen";"9.2436";"46.53889";"u | ü"
"245";"46059";"Fanas";"9.66534";"46.98498";"u | ü"
"246";"46073";"Felsberg";"9.47688";"46.84455";"u | ü"
"247";"4608";"Alt Stahnsdorf";"13.88034";"52.28599";"u | ü"
"248";"46101";"Wiesen";"9.71508";"46.7045";"u | ü"
"249";"46104";"Am Bach";"9.53685";"46.45853";"u | ü"
"250";"46115";"Lauenen";"7.32205";"46.42482";"u | ü"
"251";"46118";"Stiegelschwand";"7.53458";"46.48725";"u | ü"
"252";"46391";"Poppenbüll";"8.76123";"54.36107";"u | ü"
"253";"46481";"Stakendorf";"10.42395";"54.38844";"u | ü"
"254";"46492";"Behrensdorf (Ostsee)";"10.60371";"54.34619";"u | ü"
"255";"46570";"Staberdorf";"11.27372";"54.4157";"u | ü"
"256";"46637";"Alte Kirche";"8.59403";"54.51596";"u | ü"
"257";"46652";"Sollerupfeld";"9.29715";"54.56549";"u | ü"
"258";"46687";"Damp";"10.01569";"54.58425";"u | ü"
"259";"46693";"Westermarkelsdorf";"11.05568";"54.5229";"u | ü"
"260";"46798";"Estrup";"9.53735";"54.71602";"u | ü"
"261";"46806";"Wippendorf";"9.82753";"54.7088";"u | ü"
"262";"46924";"Beken (Bækken)";"9.527650699";"54.88239225";"u | ü"
"263";"47139";"Sandhatten";"8.31903";"53.00936";"u | ü"
"264";"47154";"Adelheide";"8.60779032";"53.01070805";"u | ü"
"265";"47171";"Dreye";"8.8805";"53.0151";"u | ü"
"266";"47183";"Allerdorf";"9.196856353";"53.02650299";"u | ü"
"267";"47219";"Lohe";"7.78056";"53.14718";"u | ü"
"268";"47224";"Burgfelde";"7.985741345";"53.15868334";"u | ü"
"269";"47370";"Bardenfleth";"8.5663";"53.17486";"u | ü"
"270";"4738";"Niederwerbig";"12.78651";"52.11314";"u | ü"
"271";"474";"Kramarzyny";"17.25621";"54.06601";"u | ü"
"272";"47422";"Neuenbülstedt";"9.14746";"53.2099";"u | ü"
"273";"47463";"Petersfeld";"8.031800239";"53.28863493";"u | ü"
"274";"4749";"Zülichendorf";"13.024";"52.1175";"u | ü"
"275";"47598";"Offenwardenermoor";"8.56993";"53.34549";"u | ü"
"276";"47612";"Paddewisch";"8.86492";"53.35456";"u | ü"
"277";"47677";"Neustadtgödens";"7.9855";"53.47874";"u | ü"
"278";"478";"Pradzonka";"17.54883";"54.03056";"u | ü"
"279";"47861";"Siggeneben";"11.0513";"54.2567";"u | ü"
"280";"47885";"Edemannswisch";"9.00073";"54.19265";"u | ü"
"281";"47893";"Oesterborstel";"9.309525305";"54.20670884";"u | ü"
"282";"47935";"Klein Barkau";"10.13493";"54.22103";"u | ü"
"283";"48096";"Grömitz";"10.95855";"54.15122";"u | ü"
"284";"48098";"Friedrichskoog";"8.8805";"54.0062";"u | ü"
"285";"48105";"Barlteraltendeich";"9.03523";"54.02143";"u | ü"
"286";"48115";"Holstenniendorf";"9.34836";"54.04212";"u | ü"
"287";"48239";"Brokdorf";"9.33008";"53.86164";"u | ü"
"288";"48242";"Berensch";"8.5904";"53.82092";"u | ü"
"289";"48247";"Altenbruch";"8.77311";"53.82372";"u | ü"
"290";"48302";"Misselwarden";"8.5169";"53.67513";"u | ü"
"291";"48383";"Wüppels";"7.97986";"53.63678";"u | ü"
"292";"48392";"Langwarden";"8.30186";"53.60355";"u | ü"
"293";"48477";"Iffens";"8.330792544";"53.53273255";"u | ü"
"294";"48497";"Altluneberg";"8.82184";"53.52681";"u | ü"
"295";"48507";"Hönau-Lindorf";"9.1253";"53.53544";"u | ü"
"296";"48522";"Rerik";"11.61406";"54.10586";"u | ü"
"297";"48532";"Brodhagen";"11.85396";"54.10812";"u | ü"
"298";"486";"Niedamowo";"18.09229";"54.0637";"u | ü"
"299";"48675";"Strukdorf";"10.48741";"53.91971";"u | ü"
"300";"48716";"Gross Voigtshagen";"11.03609";"53.92008";"u | ü"
"301";"48726";"Beckerwitz";"11.33016";"53.9304";"u | ü"
"302";"48738";"Steinhausen";"11.60462";"53.94318";"u | ü"
"303";"48752";"Berendshagen";"11.83423";"53.94661";"u | ü"
"304";"48800";"Lentföhrden";"9.88862";"53.87033";"u | ü"
"305";"48812";"Todesfelde";"10.17638";"53.89247";"u | ü"
"306";"49022";"Kleinboden";"10.44713";"53.75756";"u | ü"
"307";"49043";"Campow";"10.76242";"53.75636";"u | ü"
"308";"49076";"Nesow";"11.05079";"53.75628";"u | ü"
"309";"49090";"Dalliendorf";"11.32985";"53.7779";"u | ü"
"310";"49108";"Neuhof";"11.61879";"53.77558";"u | ü"
"311";"49146";"Drochtersen";"9.38137";"53.71165";"u | ü"
"312";"49176";"Quickborn";"9.89519";"53.73194";"u | ü"
"313";"49322";"Brochdorf";"9.68499";"53.04779";"u | ü"
"314";"49332";"Bispingen";"9.99781";"53.08488";"u | ü"
"315";"49338";"Wettenbostel";"10.2827";"53.0747";"u | ü"
"316";"49348";"Seedorf";"10.51368";"53.08083";"u | ü"
"317";"49362";"Stoetze";"10.78178";"53.06946";"u | ü"
"318";"49498";"Dannenberg (Elbe)";"11.09034";"53.09668";"u | ü"
"319";"49509";"Breetz";"11.38051";"53.1086";"u | ü"
"320";"49524";"Laaslich";"11.69264";"53.10028";"u | ü"
"321";"49534";"Lübzow";"11.90134";"53.10669";"u | ü"
"322";"49551";"Buchholz";"12.18296";"53.11903";"u | ü"
"323";"49562";"Hetzwege";"9.40421";"53.19342";"u | ü"
"324";"49569";"Otter";"9.74297";"53.2407";"u | ü"
"325";"49579";"Ollsen";"10.00938";"53.22233";"u | ü"
"326";"49587";"Westergellersen";"10.2488";"53.23284";"u | ü"
"327";"49605";"Barskamp";"10.78385";"53.24416";"u | ü"
"328";"49767";"Glaisin";"11.36676";"53.27885";"u | ü"
"329";"49778";"Neese";"11.62817";"53.26261";"u | ü"
"330";"49802";"Grabow";"12.17074";"53.26531";"u | ü"
"331";"49813";"Wangersen";"9.42586";"53.365";"u | ü"
"332";"49840";"Lassrönne";"10.22923";"53.38859";"u | ü"
"333";"49857";"Juliusburg";"10.50596";"53.41658";"u | ü"
"334";"49881";"Setzin";"11.08244";"53.41108";"u | ü"
"335";"49898";"Neuhof";"11.60438";"53.39799";"u | ü"
"336";"50027";"Moraas";"11.30189";"53.42238";"u | ü"
"337";"50087";"Wisch";"9.652825404";"53.56253675";"u | ü"
"338";"50343";"Gross Rogahn";"11.32365";"53.59528";"u | ü"
"339";"50377";"Jellen";"12.14767";"53.62344";"u | ü"
"340";"50385";"Lübsee";"12.36951";"53.73311";"u | ü"
"341";"50471";"Bellin";"14.11661";"53.73703";"u | ü"
"342";"50523";"Retzow";"12.72318";"53.77769";"u | ü"
"343";"50538";"Hohenbollentin";"13.02051";"53.78904";"u | ü"
"344";"50552";"Golchen";"13.27783";"53.79124";"u | ü"
"345";"50567";"Strippow";"13.56356";"53.78446";"u | ü"
"346";"50575";"Rosenhagen";"13.80867";"53.8054";"u | ü"
"347";"50583";"Siniechowo";"14.66308";"53.79171";"u | ü"
"348";"50604";"Drzewica";"14.96696";"53.79514";"u | ü"
"349";"50622";"Lisowo";"15.24598";"53.77514";"u | ü"
"350";"50719";"Lubin";"14.43155";"53.8679";"u | ü"
"351";"50765";"Gross Ridsenow";"12.44997";"53.95967";"u | ü"
"352";"50779";"Schlutow";"12.73722";"53.94228";"u | ü"
"353";"50805";"Bentzin";"13.27277";"53.94539";"u | ü"
"354";"50818";"Ranzin";"13.52648";"53.95007";"u | ü"
"355";"50830";"Lassan";"13.84379";"53.94673";"u | ü"
"356";"50844";"Miedzyzdroje";"14.44888";"53.92636";"u | ü"
"357";"50850";"Sieroslaw";"14.68184";"53.94979";"u | ü"
"358";"50872";"Bedzieszewo";"14.96722";"53.94149";"u | ü"
"359";"50892";"Skalin";"15.25298";"53.95664";"u | ü"
"360";"50973";"Koserow";"14.00155";"54.05033";"u | ü"
"361";"50986";"Trzesacz";"14.99104";"54.0761";"u | ü"
"362";"51012";"Hohen Wangelin";"12.42509";"53.61075";"u | ü"
"363";"51048";"Tarnow";"13.02205";"53.61154";"u | ü"
"364";"51065";"Trollenhagen";"13.29078";"53.6072";"u | ü"
"365";"51089";"Eichhof";"13.85179";"53.63346";"u | ü"
"366";"511";"Krasniewo";"18.96931";"54.01376";"u | ü"
"367";"51101";"Drogoradz";"14.4674";"53.62998";"u | ü"
"368";"51112";"Budzien";"14.68877";"53.61758";"u | ü"
"369";"51123";"Krzywice";"14.96392";"53.60041";"u | ü"
"370";"51135";"Plantikow";"15.24763056";"53.60343749";"u | ü"
"371";"51143";"Kloster";"13.11085";"54.58538";"u | ü"
"372";"51146";"Wiek";"13.28792";"54.62108";"u | ü"
"373";"51162";"Nardevitz";"13.56522303";"54.57388681";"u | ü"
"374";"51191";"Ahrenshoop";"12.41813";"54.37908";"u | ü"
"375";"51232";"Neu-Reddevitz";"13.62026447";"54.341066";"u | ü"
"376";"51243";"Langendamm";"12.46549";"54.29792";"u | ü"
"377";"51267";"Pütte";"12.9835";"54.29259";"u | ü"
"378";"51288";"Thiessow";"13.71408";"54.27487";"u | ü"
"379";"51346";"Reppelin";"12.43765";"54.09324";"u | ü"
"380";"51355";"Kavelsdorf";"12.70461";"54.13797";"u | ü"
"381";"51370";"Müggenwalde";"12.99069";"54.12609";"u | ü"
"382";"51387";"Steffenshagen";"13.30351";"54.11602";"u | ü"
"383";"51397";"Vierow";"13.57063";"54.11847";"u | ü"
"384";"51409";"Karlshagen";"13.83497";"54.11263";"u | ü"
"385";"51413";"Trzebusz";"15.26498";"54.09104";"u | ü"
"386";"51539";"Kisserow";"12.46486";"53.44792";"u | ü"
"387";"51549";"Federow";"12.76122";"53.48309";"u | ü"
"388";"51561";"Klein Vielen";"13.03182";"53.45295";"u | ü"
"389";"51571";"Holldorf";"13.27173";"53.46608";"u | ü"
"390";"51598";"Trebenow";"13.85194";"53.44356";"u | ü"
"391";"51611";"Rossow";"14.13887";"53.47114";"u | ü"
"392";"51624";"Wawelnica";"14.41164";"53.45193";"u | ü"
"393";"51646";"Dabrowica";"14.97193";"53.46528";"u | ü"
"394";"51661";"Bobrowniki";"15.25306";"53.43581";"u | ü"
"395";"51838";"Hasselförde";"13.3029";"53.2842";"u | ü"
"396";"51850";"Buchenhain";"13.54424";"53.30994";"u | ü"
"397";"51866";"Röpersdorf";"13.84477";"53.28114";"u | ü"
"398";"51877";"Grünz";"14.13241";"53.28371";"u | ü"
"399";"51893";"Pargow (Pargowo)";"14.43338106";"53.28316465";"u | ü"
"400";"51906";"Zelislawiec";"14.66837";"53.27475";"u | ü"
"401";"51934";"Zukowo";"15.21516";"53.28013";"u | ü"
"402";"5203";"Nekielka";"17.38455";"52.39588";"u | ü"
"403";"52070";"Wallitz";"12.77328";"53.11997";"u | ü"
"404";"52086";"Barsdorf";"13.28954";"53.105";"u | ü"
"405";"52095";"Petersdorf";"13.60041";"53.09193";"u | ü"
