Ort::Longitude;Ort::Latitude;Ort::REDE_GIDs;Ort::Sprache;Bogennummer;Ort::Name;Transliteration WS 36;Wortform WS 36;Stammvokal WS 36;Stammvokal Überprüfung;Kategorie;Anmerkungen WS36
7,39739;47,74412;26570;1;41460;RIXHEIM;Was sètza do fèr Vègela owe uf em Mirla?;Vègela;è;;;
14,65982;52,93143;372358;1;4152;STOLECZNA;Wat sitt'n de Vögelkes oben up de Muhr.;Vögelkes;ö;;;
7,44726;47,58851;33696;1;41566;RANSPACH-LE-BAS;Was fir Vègale sitze do oba uf’m Mirla?;Vègale;è;;;
7,66409;47,61258;131694;1;41598;LÖRRACH;Was für Vögeli sitze do obe uf dem Mürli?;Vögeli;ö;;;
14,92963;52,96688;158956;1;4161;GLAZOW;Watt sitt'n doa vörr Vöägelkis boawe up dat Muhrke?;Vöägelkis;öä;;;
7,94873;47,62902;130474;1;41623;HÜTTEN;Wa hockè do für Vögeli uf dem Mǖrli ōbe?;Vögeli;ö;;;
7,1873;47,56163;24527;1;41653;LARGITZEN;Was hocken do fier Vögele uf dem Miurle obe?;Vögele;ö;;;
15,23687;52,94023;161296;1;4171;OKUNIE;Watt sitten doh vör Vögelken bowen up dem̄ Müehrken.;Vögelken;ö;;;
7,246;47,42133;36499;1;41714;LUCELLE;Wās fir Végili sitză do obă üf'm Mirlă?;Végili;é;;;
11,3957;47,9297;81078;1;41785;HￃﾖHENRAIN;Wàs hocká dà für Vögein dom auf dera klŏan Maur?;Vögein;ö;;;
11,89878;47,92796;82491;1;41801;GROSSHￃﾖHENRAIN;Wos han denn dös für kloa Vögl, dö do auf da Mau(r) a(b)m hocka?;Vögl;ö;;;
12,07702;47,92339;88213;1;41811;TATTENHAUSEN;Wos sitzen da für a Vögei am, auf den Maierl?;Vögei;ö;;;
10,36106;47,90072;71373;1;41819;OLLARZRIED;Was sitzét dau für V̄ögala oba auf dḛm Mäurle?;V̄ögala;ö;;;
10,62392;47,8793;83571;1;41836;KAUFBEUREN;Was sitzet dau fer Vögala oba auf'm Mäuerla.;Vögala;ö;;;
10,85157;47,91541;88202;1;41845;DENKLINGEN;Was sitzat dau für Vögalo auf deam Mäuerla dob?;Vögalo;ö;;;
11,10862;47,91142;75437;1;41855;RAISTING;Was hockn da für Vögelen oben aufm Mäurle?;Vögelen;ö;;;
11,60938;47,90265;79008;1;41872;BAIERNRAIN;Wos sitzen do füre Vegln auf der Maua.;Vegln;e;;;
11,15493;47,76917;74653;1;41932;HUGLFING;Wos sitzn do fir Vegelen dobm af de̱͡a klo͡a̱n Maur?;Vegelen;e;;;
11,37598;47,75192;89961;1;41939;PENZBERG;Wos sitzn do füri Vüăgl do drobn auf da Maur?;Vüăgl;üă;;;
11,63273;47,76683;76329;1;41948;REICHERSBEUERN;Was sitzn da für Vögerl obn aufn Mäuerl?;Vögerl;ö;;;
11,86487;47,78497;92849;1;41953;PARSBERG;Was sitz'n da für Vög'l ob'n auf dem Mäuerl?;Vög'l;ö;;;
12,10834;47,77873;89038;1;41963;KIRCHDORF AM INN;Was sitzn da für Vöga̰l obn auf'm Mäua̰l.;Vöga̰l;ö;;;
12,32437868;47,7804255;546057;1;41969;ASCHAU IM CHIEMGAU-NIEDERASCHAU;Was sitz'n do für Vögerla om auf dem Mäuerl?;Vögerla;ö;;;
10,37842;47,73522;88458;1;41971;BETZIGAU;Was hocket dau für Vöga̰la uff deam Mäurle doba?;Vöga̰la;ö;;;
10,64225;47,72354;70998;1;41980;SULZSCHNEID;Was sitzet do füer Vögela doba uf deam Mäurle?;Vögela;ö;;;
10,86194;47,70374;79796;1;41986;STEINGADEN;Was sitzḛn doa̰ für Vōgelan obḛn auf dem Mauerlḛn.;Vōgelan;ō;;;
10,80235;47,62584;86626;1;42039;BAYERNIEDERHOFEN;Was sitza da für Vögala doba auf dem Mäuerla?;Vögala;ö;;;
11,43474;47,60578;74050;1;42049;JACHENAU;Wos sitzn do für Vögalan obm auf den Meirla?;Vögalan;ö;;;
10,4287;47,54427;75067;1;42056;UNTERJOCH;Was sitzen da für Vögele oben auf deam Mäurle.;Vögele;ö;;;
11,13614;47,56027;78677;1;42062;OBERAU;Wos sitzn do f(i)a Vega̰li om aufm Mäurli?;Vega̰li;e;;;
12,3808;47,92824;89391;1;42070;EGGSTￃﾄTT;Wos sitzn do für Vögaln obn afm Mäuerl.;Vögaln;ö;;;
12,60502;47,9401;71122;1;42076;TRAUNWALCHEN;Was hoggn da füri Vȫgeĭn om aufn Mäual.;Vȫgeĭn;ȫ;;;
12,83494;47,95304;84494;1;42084;KIRCHANSCHￃﾖRING;Wo hocka do füa Vögein ob'n auf da Maua?;Vögein;ö;;;
12,6446;47,7642;86734;1;42116;RUHPOLDING;Was sitz'n den da für Vögei ob'n auf'n Mäual?;Vögei;ö;;;
12,85562;47,8048;90765;1;42118;ANGER;Was sitzn da füurn Vögein obn aufn Mäuerl;Vögein;ö;;;
12,89858;47,60782;80214;1;42132;RAMSAU BEI BERCHTESGADEN;Wos sitzn do für Vögein obn aufn Mäuerl?;Vögein;ö;;;
5,9236;50,10765;143055;1;42140;HACHIVILLE;Wāt sétzen dō fĭr Vĭgelcher uowen ŏb dér Meierchen?;Vĭgelcher;ĭ;;;
5,8408;50,00969;143413;1;42166;NIEDERWAMPACH;Wat fir Fellerchen setzen do op der Meierchen.;Fellerchen;e;;;
6,06535;50,02878;143331;1;42180;NEIDHAUSEN;Wat sētzen do fir Villercher ob dem Meierchen;Villercher;i;;;
6,0989;49,84595;143253;1;42236;ETTELBRÜCK;Wat fir Figelcher sétzen do ûoven ob der Meîerchen?;Figelcher;i;;;
5,84827;49,83005;143345;1;42254;RAMBROUCH;Wat fir Fullen setzen do ûowen op der Mauer.;Fullen;u;;;
5,87903;49,68492;143183;1;42302;EISCHEN;Wāt sen dāt fîr Villerchen do u-wen op déer Mei-erchen?;Villerchen;i;;;
6,13014;49,69662;143097;1;42316;HÜNSDORF;Wāt setzen dō fīr Villercher, dō uĕven op der Meierchen?;Villercher;i;;;
6,37179;49,70572;143272;1;42341;BIWER;Wat setzen do fir Figelcher uowen ob der Meierchen?;Figelcher;i;;;
5,89989933;49,51504146;535595;1;42414;UEWERKUER;Wāt sétzen do fir Vilerche uōven op der Meierche.;Vilerche;i;;;
6,12794;49,52288;143430;1;42431;PEPPANGE;Wāt fir Veilĕrcher sĕtzen do uwen ob der Meiĕrchen.;Veilĕrcher;ei;;;
15,38244;47,94787;9710;1;42469;SCHWARZENBACH AN DER PIELACH;Wos sitzt denn do für a Vogerl oben aufn Mäuerl?;Vogerl;o;;;
15,55216;47,96124;7622;1;42470;LEHENROTTE;Wos sitzn do für Vögerl obn auf'n Mäuerl.;Vögerl;ö;;;
15,90216;47,92604;1786;1;42472;THAL;Wås sitzn den da fir Vögln obn auf dem Meierl?;Vögln;ö;;;
16,08669;47,92652;198;1;42477;GRILLENBERG;Wos sitzn do füa Vegal om auf den Meial?;Vegal;e;;;
15,87681701;47,77801293;10140;1;42520;SCHNEEBERGDￃﾖRFL;Wos sitzen do fir Vögerl obn aufn Mäuerl?;Vögerl;ö;;;
16,08847;47,75818;9438;1;42527;MOLLRAM;Wos san dös für Vegaln obm aum Meierl?;Vegaln;e;;;
15,48478;47,74201;8462;1;42532;FREIN AN DER MￃﾜRZ;Was sitzn da für Vögala obn aufm Meierl.;Vögala;ö;;;
15,54487109;47,59687437;546336;1;42571;MASSING;Wås sitz'n då für Vögerl ob'n auf'n Meierl?;Vögerl;ö;;;
15,82957;47,63272;6423;1;42573;SEMMERING;Wos sitz'n do fia Vegal obm auf 'm Mäual.;Vegal;e;;;
16,05379;47,59927;214;1;42587;FEISTRITZ AM WECHSEL;Wos sitz'n do fir Vegln obn af da Mauer?;Vegln;e;;;
16,29922;47,56108;6273;1;42612;GLEICHENBACH;Wos sitzn dan dou fir Vechaln auf dein Meial oum.;Vechaln;e;;;
16,86813;47,92623;534584;1;42635;WEIDEN AM SEE;Wos sitzn do fia Väichal aobn af'm Maial?;Väichal;äi;;;
17,06908;47,94045;2799;1;42637;NICKELSDORF;Wir sitzen do fie d Vegl obm auf d Mauern.;Vegl;e;;;
16,35122;47,9008;10134;1;42640;SIEGERSDORF;Wås sitz'n do für Vögearl auf dera Mauear?;Vögearl;ö;;;
16,54389;47,90702;9101;1;42647;STOTZING;Wos sitzn do fia Vöcherl obn af da kloan Mauer?;Vöcherl;ö;;;
17,26934729;47,87440861;546068;1;42670;WIESELBURG (MOSONMAGYARￃﾓVￃﾁR);Wos füa klāni Vēgal sitzn oum afta klani (niadan) Maua?;Vēgal;ē;;;
17,03243;47,77548;1379;1;42688;ANDAU;Wos sitzn do für Vögelchen obn auf dem Mäuerchen.;Vögelchen;ö;;;
16,33758;47,73828;3617;1;42691;WIESEN;Woas sitzn denn do für Vägl auf dera Maua obn?;Vägl;ä;;;
16,5;47,74;9645;1;42701;BAUMGARTEN;Wos fia Vögln sitzn obn auf dem Maua?;Vögln;ö;;;
16,83099;47,74316;534585;1;42706;APETLON;Wos sitzna deou fier Spatzeln eom af deim Mauerl?;Spatzeln;;;;
16,54986;47,5862;10118;1;42722;HORITSCHON;Wos sitzn dāŭ für Vögelchen oben auf dem Mäŭerchen (Mäŭerl);Vögelchen;ö;;;
9,40477;47,52836;19735;1;42748;FRASNACHT;Was setzed do för Vögeli obe-n-uf däm-Mührli?;Vögeli;ö;;;
9,484246649;47,36098971;546200;1;42821;RIETLI;Was hockid do för Vögeli off em Mürli obe?;Vögeli;ö;;;ursprünglich Fragezeichen hinter Mürli gesetzt aber jetzt sehr blass
9,68872;47,36211;3182;1;42843;HOHENEMS;Was für Vögeli sitzand döat om uf em Mürli?;Vögeli;ö;;;
9,92969;47,36918;1690;1;42850;BIZAU;Was seazod dō vr Vögele uf om Mürle omm? (Was huckod dau ...);Vögele;ö;;;
10,18618;47,35752;4515;1;42856;RIEZLERN;Was sitza do für Vögele ufam Mürle dobba?;Vögele;ö;;;
9,51164;47,21906;19546;1;42908;GAMPRIN;Was hoggen do für 'Vögele ufam Mürle domma?;Vögele;ö;;;
9,70087;47,21608;9730;1;42926;RÖNS;Was sind ens für Vögele uf em Mürle dom̄a?;Vögele;ö;;;
