"";"Bogennummer";"Ort..Name";"Ort..Longitude";"Ort..Latitude";"Typ"
"118";48401;"FLÖGELN";"8.80591";"53.66003";"o | ö"
"119";48247;"ALTENBRUCH";"8.77311";"53.82372";"o | ö"
"120";48098;"FRIEDRICHSKOOG";"8.8805";"54.0062";"o | ö"
"121";46073;"FELSBERG";"9.47688";"46.84455";"o | ö"
"122";46391;"POPPENBÜLL";"8.76123";"54.36107";"o | ö"
"123";46637;"ALTE KIRCHE";"8.59403";"54.51596";"o | ö"
"124";42908;"GAMPRIN";"9.51164";"47.21906";"o | ö"
"125";42748;"FRASNACHT";"9.40477";"47.52836";"o | ö"
"126";40798;"OBEREISENBACH";"9.64125";"47.6819";"o | ö"
"127";41057;"BAINDT";"9.66279";"47.84325";"o | ö"
"128";27150;"WIESTHAL";"9.42905";"50.03327";"o | ö"
"129";27461;"OBERNDORF";"9.47236";"50.1902";"o | ö"
"130";27765;"ULMBACH";"9.42231";"50.36852";"o | ö"
"131";28045;"ALTENSCHLIRF";"9.38635";"50.53509";"o | ö"
"132";28330;"SCHWARZ";"9.42007";"50.7215";"o | ö"
"133";21045;"BROKELOH";"9.20944";"52.54802";"o | ö"
"134";20917;"DRAKENBURG";"9.21314";"52.68797";"o | ö"
"135";20753;"MAGELSEN";"9.16808";"52.87499";"o | ö"
"136";47183;"ALLERDORF";"9.196856353";"53.02650299";"o | ö"
"137";47422;"NEUENBÜLSTEDT";"9.14746";"53.2099";"o | ö"
"138";47624;"OBER-OCHTENHAUSEN";"9.14538";"53.38607";"o | ö"
"139";48507;"HÖNAU-LINDORF";"9.1253";"53.53544";"o | ö"
"140";48324;"WEISSENMOOR";"9.06278";"53.71132";"o | ö"
"141";48233;"BRUNSBÜTTELERHAFEN";"9.11080098";"53.89052151";"o | ö"
"142";48105;"BARLTERALTENDEICH";"9.03523";"54.02143";"o | ö"
"143";47885;"EDEMANNSWISCH";"9.00073";"54.19265";"o | ö"
"144";42926;"RÖNS";"9.70087";"47.21608";"o | ö"
"145";42843;"HOHENEMS";"9.68872";"47.36211";"o | ö"
"146";40597;"LINDAU (BODENSEE)";"9.68397";"47.54611";"o | ö"
"147";40807;"RATZENRIED";"9.89935";"47.72211";"o | ö"
"148";41064;"ZIEGELBACH";"9.86355";"47.89058";"o | ö"
"149";34044;"AILRINGEN";"9.75131";"49.37199";"o | ö"
"150";27775;"EICHENRIED";"9.6511";"50.39612";"o | ö"
"151";28063;"FULDA";"9.67469";"50.55356";"o | ö"
"152";28346;"GROSSENMOOR";"9.65184";"50.70307";"o | ö"
"153";24431;"KONNEFELD";"9.63006";"51.04594";"o | ö"
"154";24695;"WATTENBACH";"9.59177";"51.21072";"o | ö"
"155";24942;"SPEELE";"9.56267";"51.37759";"o | ö"
"156";21679;"SPRINGE";"9.55567";"52.20741";"o | ö"
"157";21050;"EMPEDE";"9.46636";"52.53603";"o | ö"
"158";20920;"UNTERRODEWALD";"9.481851913";"52.66567501";"o | ö"
"159";20763;"NORDKAMPEN";"9.43239";"52.86343";"o | ö"
"160";49311;"RIEKENBOSTEL";"9.4597";"53.03452";"o | ö"
"161";49562;"HETZWEGE";"9.40421";"53.19342";"o | ö"
"162";49813;"WANGERSEN";"9.42586";"53.365";"o | ö"
"163";50073;"SCHWINGE";"9.38434";"53.5502";"o | ö"
"164";49146;"DROCHTERSEN";"9.38137";"53.71165";"o | ö"
"165";48239;"BROKDORF";"9.33008";"53.86164";"o | ö"
"166";48115;"HOLSTENNIENDORF";"9.34836";"54.04212";"o | ö"
"167";47893;"OESTERBORSTEL";"9.309525305";"54.20670884";"o | ö"
"168";46652;"SOLLERUPFELD";"9.29715";"54.56549";"o | ö"
"169";46784;"GROSSENWIEHE";"9.25023";"54.71004";"o | ö"
"170";42977;"SCHRUNS";"9.91962";"47.0796";"o | ö"
"171";42933;"BUCHBODEN";"9.95159";"47.24486";"o | ö"
"172";42850;"BIZAU";"9.92969";"47.36918";"o | ö"
"173";41076;"MARIA STEINBACH";"10.13795";"47.88954";"o | ö"
"174";38695;"UNTEROPFINGEN";"10.12798";"48.0594";"o | ö"
"175";28080;"RUPSROTH";"9.93294";"50.55401";"o | ö"
"176";28358;"RASDORF";"9.89733";"50.71974";"o | ö"
"177";28640;"HERFA";"9.92366";"50.8871";"o | ö"
"178";25179;"ESEBECK";"9.84441";"51.56385";"o | ö"
"179";21280;"LIST";"9.75132";"52.3891";"o | ö"
"180";21065;"GAILHOF";"9.76477";"52.55174";"o | ö"
"181";20933;"THￃﾖREN";"9.75629";"52.67757";"o | ö"
"182";20774;"VIERDE";"9.7293";"52.88191";"o | ö"
"183";49322;"BROCHDORF";"9.68499";"53.04779";"o | ö"
"184";49569;"OTTER";"9.74297";"53.2407";"o | ö"
"185";49821;"REGESBOSTEL";"9.64625";"53.379";"o | ö"
"186";50087;"WISCH";"9.652825404";"53.56253675";"o | ö"
"187";49162;"GROSS NORDENDE";"9.64927";"53.70258";"o | ö"
"188";48790;"RETHWISCH";"9.59053";"53.86975";"o | ö"
"189";48126;"JAHRSDORF";"9.63427";"54.06696";"o | ö"
"190";47907;"HAMWEDDEL";"9.62152";"54.18985";"o | ö"
"191";46430;"OWSCHLAG";"9.60329";"54.39392";"o | ö"
"192";46666;"NEUBEREND";"9.53279";"54.55137";"o | ö"
"193";46798;"ESTRUP";"9.53735";"54.71602";"o | ö"
"194";46924;"BEKEN (BￃﾆKKEN)";"9.527650699";"54.88239225";"o | ö"
"195";42856;"RIEZLERN";"10.18618";"47.35752";"o | ö"
"196";40613;"RATHOLZ";"10.13498";"47.56238";"o | ö"
"197";38448;"BALDERN";"10.31352";"48.90259";"o | ö"
"198";33711;"GAIBACH";"10.22647";"49.88995";"o | ö"
"199";27807;"BASTHEIM";"10.20383";"50.40168";"o | ö"
"200";28107;"GERTHAUSEN";"10.19182";"50.57012";"o | ö"
"201";21429;"NETTE";"10.08174";"52.038";"o | ö"
"202";21295;"IMMENSEN";"10.06143";"52.39489";"o | ö"
"203";21074;"ADELHEIDSDORF";"10.0574";"52.56429";"o | ö"
"204";20936;"HASSEL";"9.98769";"52.73449";"o | ö"
"205";20710;"WIETZENDORF";"9.97514";"52.91878";"o | ö"
"206";49579;"OLLSEN";"10.00938";"53.22233";"o | ö"
"207";49828;"TￃﾖTENSEN";"9.92661";"53.40705";"o | ö"
"208";50117;"OTTENSEN";"9.92842";"53.5542";"o | ö"
"209";49176;"QUICKBORN";"9.89519";"53.73194";"o | ö"
"210";48800;"LENTFￃﾖHRDEN";"9.88862";"53.87033";"o | ö"
"211";48141;"EHNDORF";"9.8945";"54.05265";"o | ö"
"212";47916;"WARDER";"9.88642";"54.21312";"o | ö"
"213";46443;"HOLTSEE";"9.85497";"54.39931";"o | ö"
"214";46684;"ZIMMERT";"9.86157";"54.5608";"o | ö"
"215";46806;"WIPPENDORF";"9.82753";"54.7088";"o | ö"
"216";38720;"KICKLINGEN";"10.59756";"48.568";"o | ö"
"217";38935;"FRONHOFEN";"10.5672";"48.73137";"o | ö"
"218";34838;"RￃﾖCKINGEN";"10.55891";"49.05667";"o | ö"
"219";11896;"SￃﾜLZDORF";"10.49026";"50.41091";"o | ö"
"220";12153;"MEININGEN";"10.41715";"50.57103";"o | ö"
"221";10974;"HAINDORF";"10.4237421";"50.7188194";"o | ö"
"222";21882;"BODENSTEDT";"10.3324";"52.22627";"o | ö"
"223";21305;"VOIGTHOLZ-AHLEMISSEN";"10.32142";"52.39354";"o | ö"
"224";21085;"NORDBURG";"10.28391";"52.57727";"o | ö"
"225";20946;"SCHARNHORST";"10.27333";"52.72449";"o | ö"
"226";49338;"WETTENBOSTEL";"10.2827";"53.0747";"o | ö"
"227";49587;"WESTERGELLERSEN";"10.2488";"53.23284";"o | ö"
"228";49840;"LASSRￃﾖNNE";"10.22923";"53.38859";"o | ö"
"229";50130;"WILLINGHUSEN";"10.20487";"53.56222";"o | ö"
"230";49188;"JERSBEK";"10.21851";"53.74313";"o | ö"
"231";48812;"TODESFELDE";"10.17638";"53.89247";"o | ö"
"232";48156;"GￃﾖNNEBEK";"10.17854";"54.0485";"o | ö"
"233";47935;"KLEIN BARKAU";"10.13493";"54.22103";"o | ö"
"234";46459;"PRIES";"10.16151";"54.39584";"o | ö"
"235";35729;"MￃﾜHLHAUSEN";"10.77547";"49.75347";"o | ö"
"236";35843;"TￃﾜTSCHENGEREUTH";"10.77167";"49.90142";"o | ö"
"237";12616;"REUTERSBRUNN";"10.75411";"50.07607";"o | ö"
"238";12037;"HILDBURGHAUSEN";"10.73533";"50.42423";"o | ö"
"239";12167;"ALTENDAMBACH";"10.71167";"50.55906";"o | ö"
"240";3516;"BORNUM";"10.59503";"52.0891";"o | ö"
"241";21902;"RAUTHEIM";"10.58483";"52.24025";"o | ö"
"242";22111;"WASBￃﾜTTEL";"10.59431";"52.41361";"o | ö"
"243";22375;"WESTERHOLZ";"10.56262";"52.59885";"o | ö"
"244";22574;"MASEL";"10.5153";"52.75135";"o | ö"
"245";22773;"HOLDENSTEDT";"10.52559";"52.92076";"o | ö"
"246";49348;"SEEDORF";"10.51368";"53.08083";"o | ö"
"247";49727;"WENDHAUSEN";"10.56531";"53.25038";"o | ö"
"248";49857;"JULIUSBURG";"10.50596";"53.41658";"o | ö"
"249";50142;"BASTHORST";"10.47132";"53.57846";"o | ö"
"250";49022;"KLEINBODEN";"10.44713";"53.75756";"o | ö"
"251";48675;"STRUKDORF";"10.48741";"53.91971";"o | ö"
"252";47952;"MUCHELN";"10.44134";"54.24809";"o | ö"
"253";46481;"STAKENDORF";"10.42395";"54.38844";"o | ö"
"254";39742;"GALLENBACH";"11.09634";"48.41371";"o | ö"
"255";35544;"BUCKENHOF";"11.04964";"49.59343";"o | ö"
"256";12184;"ALTENFELD";"10.96068";"50.56467";"o | ö"
"257";6472;"STOLBERG (HARZ)";"10.95504";"51.57345";"o | ö"
"258";6891;"DANSTEDT";"10.88689";"51.91415";"o | ö"
