Ort::REDE_GIDs;Ort::Longitude;Ort::Latitude;Ort::Erhebung;Ort::Sprache;Bogennummer;Ort::Name;WS16: Adjektivform Positiv;WS16: Stammvokal Positiv;WS16: Adjektivform Komparativ;WS16: Stammvokal Komparativ;Transliteration WS16
74978;10,10684;48,37944;4;1;37622;HOLZHEIM;groaß;oa;greaßr;ea;Du bischt no net groaß gnua, um a̰ Flasch Wei ausztrinka, du muascht eascht no ebbes wachsa u. greaßr wera.
133441;8,57584;48,49849;4;1;37658;OBERWALDACH;grauß;au;;;De bist no ned grauß gnuag, um e Flasch Wei ausz'tringed, de muaßt erst no ebbes waase.
127575;8,83695;48,52245;4;1;37802;BONDORF;graoß;ao;greaßer;ae;Du bist no net graoß gnuag, um a̰ Flasch Wḛḭ ausztrinket, Du muaßt erst no èbés wāsa̰ u. graeßer wearda̰.
131441;9,07887;48,53096;4;1;37825;LUSTNAU;grauß;au;graißer;ai;Du bist no̰ et grauß gnuag, ŏm e Flasch Wḛḭ ausztrinket, Du muast voar no ebbes wāse und graißer wearde.
130804;9,34646;48,52951;4;1;37855;DETTINGEN AN DER ERMS;grauß;au;graißer;ai;Du bischt no et grauß gnuag om a Flasch Wḛḭ ausz'trinket, Du muoscht no mai wacksa u. graißer waåra.
132136;9,56312;48,51405;4;1;37862;DONNSTETTEN;grauß;au;graiser;ai;Du bischt no ett grauß gnu(a)g, omm a Flasch Wei(n) auszdrengget, du mu(a)scht aischt no èbbas waxa ond graiser wära.
132857;9,85361;48,52731;4;1;37869;RADELSTETTEN;graus;au;greißer;ei;Du bischt no net graus gnung ume Flasch Wein ausztrinke, du muascht no ebbes greißer wachse u. greißer wäre.
131298;10,0765;48,55285;4;1;37883;BALLENDORF;gróaß;óa;gröaßr;öa;Du bischt nõ étt gróaß gnuåg, omm å Flăsch We͠i ousz'tree͠ngå, du muåscht äascht nõ äbbås wachså ond gröaßr wèrrå.
93272;10,32391;48,56885;4;1;37900;OBERMEDLINGEN;groäß;oä;grèäßer;èä;Du bischt nõ nö̃t groãß gnuãg, daß dã̮ Flaschã Wãĩ ausdringa kã̱st, Du muãßt eãrst nõ öbbès waxã, õd grèãßer weãrã.
128211;8,34869;48,63918;4;1;37902;RAUMÜNZACH;groß;o;gréßer;é;"De bisch no nit groß gnug um e Flasch Wei (Wi) ous(us)ztrinke; de muesch zerst nommeh waxe un gréßer wèrre."
130893;9,05976;48,66017;4;1;37947;SCHÖNAICH;grauß;au;gräußer (graißer);äu (ai);Dă̰ bist no et grauß gnuă̰g, ŏm ă̰ Flasch Wḛḭ aus z'trenkă̰t, dă̰ muă̰st aierst no èbbès wāsă̰ ond gräußer (graißer) weardă̰. 
132539;8,54684;48,67203;4;1;38044;HÜNERBERG;grauß;au;gräußer;äu;Du bist no net grauß gnuag, om a Flasch Wei ausztrenket, du muaßt airscht no ebbes wagsa ond gräußer weara.
129506;8,82859;48,69507;4;1;38056;GECHINGEN;grauß;au;graiser;ai;Du bischt no net grauß gnueg zore Flasch Wei austrenket, du muscht mai wase u. graiser wearda.
127326;9,31773;48,69423;4;1;38095;DENKENDORF;grauß;au;graißer;au;Du bischt no et grauß gnuèg, um a Flasch Weḭn ausz’trinket, du muèscht aierst no ebbes wachse un graißer wèare.
131250;9,56681;48,69308;4;1;38116;ALBERSHAUSEN;greiß;ei;groiser;oi;Du bischt no et greiß gnuog, du muscht no mai wagse u. groiser werre.
130160;9,8211;48,71191;4;1;38136;WINZINGEN;gra͜uß;a͜u;graißèr;ai;Du bist no net gra͜uß gnu͜ag, a̰ Flasch Weḭn aus z’trinka̰, du mu͜ascht vo͜ar no ébbès waxa̰ und graißèr wèrra̰.
132357;10,06418;48,72989;4;1;38146;ZANG;groaß;oa;greaßer;ea;Du bischt no net groaß gnuag um a Flasch Wei ausz'trenka, du muascht voar no ebbes waxa und greaßer werra.
129855;10,29294;48,731;4;1;38155;AUERNHEIM;gro͜aß;o͜a;gri͜aßer;i͜a;Du bischt nò ét gro͜aß gnuég, na̰ Flasch Wḛḭ ausz’trinka̰, du muescht nò èbbès wachsa̰ und gri͜aßer wi͜ara̰.
131983;8,55523;48,82296;4;1;38169;DENNACH;groß;o;größer;ö;Du bischt no nét groß gnua̰g, om a̰ Flăsch Woḛ ausz’trénka̰, du mua̰scht zérscht no èbba̰s wachsa̰ ŏn größer wèrra̰.
132338;8,80329;48,82521;4;1;38182;TIEFENBRONN;groß;o;größer;o;Du bisch no net groß gnug, um e Flasch Wei ausz'trinke, du muest erscht no ebbes waxe un größer werre.
129516;9,03021;48,84495;4;1;38348;SCHÖCKINGEN;grauß;au;graißer;ai;Du bist no net grauß gnuag um a Flasch Wei ausztrinket, du muaßt airscht no èbbes wachsa u. graißer werda.
130587;9,29823;48,8577;77;1;38373;HEGNACH;grauß;au;graißer;ai;Du bischt no net grauß gnuag, om a Flascha Woi ausztrenkat, du muescht arrscht no ebbes wachsa ond graißer werda.
128316;9,54865;48,85844;4;1;38407;STEINENBERG;grauß;au;graißer;ai;Du bist no et grauß gnua̰g, em a̰ Flascha̰ Wḛi z’drinka̰t, du mua̰ßt aischt no̰ èbba̰s wagsa̰ o̰nd graißer wèa̰ra̰.
131913;9,81435;48,88102;4;1;38422;RUPPERTSHOFEN;grauß;au;graißer;ai;Da bischt no net grauß gnug, am a Flasch Wei ausztrinkat, da muscht airscht no ebba̰s wachsa ond graißer werde.
129290;10,0482;48,8833;4;1;38437;FACHSENFELD;groaß;oa;gräaßer;äa;Du bischt no̰ net groaß gnua̰g, om a̰ Flasch' Wḛi ausz'trenka̰, du mua̰scht èarscht no èbbes wachsa ond gräaßer wèrra̰.
130117;10,31352;48,90259;4;1;38448;BALDERN;groaß;oa;gröaßer;öa;Du bist no net groaß gnug, um a Flasch Wei auszutrinke, du mußt zerst no wachse u. gröaßer werde.
130252;8,74383;48,99804;4;1;38482;KLEINVILLARS;größ;ö;gréßer;é;Du bischd no net grōß gnuag, zua̰ra̰ Flasch’ Wa̰i ausz’drènka, Du muasch zerst no mé wacksa on̄ gréßer werra.
133433;9,02154;48,99915;4;1;38502;HOHENHASLACH;groß;o;gréser;é;Du bischt no nét groß gnuag, om a Flasch Wḛi auszdrenka, du muascht vor no mai wachsa on gréser werda.
132343;8,86067;48,00602;4;1;38623;NENDINGEN;gra̰uß;a̰u;grḛißḛ̂r;ḛi;Da̰ bischt no it gra̰uß gnua̰g ṵm a Flascha̰ Wḛḭ ausztrinka̰, da̰ moscht zersschda̰ no awä̰ngle wahßa̰ u grḛißḛ̂r wäara.
132477;9,10207;48,01811;4;1;38640;ROHRDORF;groß;o;greßer;e;De bischt no it groß gnua um e Fläsche Wḛi aus z'trinke, de muascht zerscht no weng wahse und greßer were.
130194;9,38609;48,01005;4;1;38655;VÖLLKOFEN;groß;o;größer;ö;Du bischt no et groß gnu͜a om å Flasch Wain aus ztrinket, du mu͜escht erscht no ebbes wachsè ond größer wä͜a̰rè.
129126;9,61467;48,01934;4;1;38666;REICHENBACH;groß;o;größər;ö;Du bischt no̰ et groß gnua, um a̰ Flascha̰ Wḛḭ aus z'drinka̰, du muscht z’ērst nō̰ ébbis wachsa̰ u. größər wäara._
131901;9,88168;48,04583;4;1;38682;MITTELBUCH;groß;o;größer;ö;Du bischt no it groß gnua, um a Flasche Wẽi ausztrinka, du muescht no wachse u. ebbes größer weăra
128901;10,12798;48,0594;4;1;38695;UNTEROPFINGEN;groß;o;groß ;o;Du bischt noit groß gnua zuanera Flascha̰ Wa̰i ausztrinka, du muascht zöscht no waksa u. groß wèara.
123880;12,46028;52,80289;2;1;3871;DREETZ;grot;o;grötter;ö;Du bist noch nich grot nog, üm ene Flasch Wien uttodrinken, du müßt ierst noch en Enn wassen un grötter wern.
81558;10,59756;48,568;4;1;38720;KICKLINGEN;groß;o;größer;ö;Du bischt no nit groß gnua um a Flasche Wei trinka, du muscht erscht no waxa und größer wera.
