Bogennummer;REDE_Namen;Longitude;Latitude;REDE_GIDs;Sprache;Herkunft;WS22::Transliteration WS22;WS22: Adjektivform;WS22: Stammvokal;WS31::Transliteration WS31;WS31: Adjektivform;WS31: Stammvokal
22581;Höddelsen;10,82391;52,78033;124932;1;Marburg;Man müt luüt schraen, süs versteit he üs nich.;luüt;uü;Jck verstaoh jüik nich, ji mütt'n een bitk'n lüter schpräken.;lüter;ü
22599;Wöpel;11,09919;52,76301;123964;1;Marburg;Man mütt laut schrein, süss versteit he uns nich.;laut;au;Jck verstoh juh nich, jeh mü'nn bitschen driester schnakk'n.;driester;ie
22621;Molitz;11,38085;52,76485;117904;1;Marburg;Män mütt luut schreein, süß vösteiht he uns nich.;luut;uu;Ik vöstoh ju nich, je mün bitschen driester snackn.;driester;ie
22636;Rönnebeck;11,63736;52,76929;120905;1;Marburg;En müt lut schräin, süs vörstei't he uns nich.;lut;u;Ik väöstaoh ju nich, jie mün'n bitschen driester ßnack'n.;driester;ie
22654;Iden;11,91213;52,77979;121594;1;Marburg;Man müt driest lärmen, süss versteiht he uns nich.;driest;ie;Iick verstoah ju nich, ji mün'n Bitschen drister snacken.;drister;i
22667;Kuhlhausen;12,19465;52,78429;119182;1;Marburg;Män mütt lut schrein, süss västeiht he uns nich;lut;u;Jck västoah ju nich, ji münn en bitschen lujer spräken.;lujer;u
22685;Proitze;10,83564;52,89159;111226;1;Marburg;Man mütt forssch prahln, ßüs verschteit 'e üs nich.;forssch;o;Jck verschtah jück nich, ji möt 'n betn förter schnacken.;förter;ö
22773;Holdenstedt;10,52559;52,92076;112469;1;Marburg;Man mut̄ luut schräin, süss versteit häih üsk nig.;luut;uu;Jck verstah jük nig, jüh mäht en betten luhder spräken.;luhder;uh
22796;Wustrow (Wendland);11,11794;52,92444;110640;1;Marburg;Man mütt lut schrien, süß varsteiht he uns nich.;lut;u;Jk verstah ju nich, jie müdd'n bed'n luder sprek'n.;luder;u
22810;Lomitz;11,39455;52,94488;106959;1;Marburg;Wi mütt'n lö͜üt schrë͜ï̇n, süs vörsteiht he uns nich.;lö͜üt;ö͜ü;Jck vörstah ju nich, ji mütt'n een bäd'n förscher snack'n.;förscher;ö
22819;Jeggel;11,64245;52,9155;120633;1;Marburg;Man möt driest schräien, süs versteiht he uns nich.;driest;ie;Ik versto͡ah juh nich, jüh mütt'n Bäten driester spräken.;driester;ie
22832;Gross Lüben;11,92033;52,95775;121751;1;Marburg;Män müt forsch schrein, süs versteiht he uns nich.;forsch;o;Ick verstoah ju nich jie mün en bitschen förscher ßnackn.;förscher;ö
22846;Görike;12,2009;52,94353;126375;1;Marburg;Man müt lud schreien, süs versteiht he uns nich.;lud;u;Ik verstoah ju nich, ihr (jie) müßt (müdden) en bitschen luger sprecken.;luger;u
22910;Holthausen;6,89919;51,41868;101223;1;Marburg;Me mott hatt ropen, söß verste-it he us neh.;hatt;a;Ick verstohe uck ne, get möten en bedschen (betschen) hadder kallen.;hadder;a
22931;Dahlhausen;7,14475;51,42633;101667;1;Marburg;Man mot hart schrein, süß versteht he uns nich.;hart;a;Ek verstoh ink nich, Iit meit en bitken härter spriäken.;härter;ä 
22965;Langeloh;7,440652873;51,45810976;544034;1;Marburg;Me maut laut (hatt) schrein, süs vestä͡it hä us nit.;laut;au;Eck vesto͡a ink nit, it meit en bi̇̈͡ëtken lauter (hädder) spri͡äkn (kür'n).;lauter;au
22990;Halingen;7,72969;51,46063;102743;1;Marburg;M'e matt harre schriggen, süiß verstäit hai uis nitt.;harre;a;I͜ek verstho i͜u nitt, eÿ mött en Bi͜etken hedder kuiern (spriäken).;hedder;e
22998;Neheim;7,96057;51,4516;103028;1;Marburg;Me matt harre schriggen, süss verstäut hei us nit.;harre;a;Jek verstohn ug nitt, Ji müetet en bietken hädder kuiern.;hädder;ä
23010;Niederbergheim;8,22732;51,47615;101380;1;Marburg;Me mott harre schriggen, süs versteut hai uës nitt.;harre;a;Iek verstoh ujje nitt, nih müt 'en Biëtken hädder Kuiern.;hädder;ä
23021;Kapellen;6,36299;51,57103;102751;1;Marburg;Me mott hardt jauwe, anders versteet hään ons nit.;hardt;a;Ek verstä͡enn ow nit, gej mott een betje harder spräke.;harder;a
23031;Rheinberg;6,6022;51,54559;102995;1;Marburg;Man mot hart rupe, anders versteht hei ons nit.;hart;a ;Ek verstohn oh nit, ge möt en bedje hadder spräke.;hadder;a
23184;Holthausen bei Kirchhellen;6,901533702;51,5894299;544066;1;Marburg;Mä mott harrt raupen, süs vörsteiht hä us nech;harrt;a;Jk vörstauh ink nech, gitt maut'n Bättken hätter kallen.;hätter;ä
23191;Herten;7,13741;51,59252;103406;1;Marburg;Man meit hatt schrein, süß vasteiht hä us nig.;hatt;a;Eck vastou ink nich, it meit bietken hätter küän.;hätter;ä
23207;Waltrop;7,39916;51,62422;102331;1;Marburg;Mä maut haar schrein, süss västeiht häi us nit.;haar;aa;Ek västuoh ink nit, it mait ätwas hädder küör'n.;hädder;ä
23218;Kamen;7,66172;51,59444;103160;1;Marburg;Man mat laut schreien, süs verstä͜it hai us nit.;laut;au;Jck verstu͜on ink nit, it mött ein bi͜etken hädder ko͜iern.;hädder;ä
23231;Norddinker;7,93087;51,65191;102847;1;Marburg;Man mot harr schreien, süß versteut hei us nit.;harr;a;Ick verstoeh iu nit, iu mürt no'n biertken häder kuiern. ;häder;ä
23261;Kessel;6,07057;51,70749;103882;1;Marburg;M͡ö mot hart krä͡je anders verstet he͡j onz nitt.;hart;a;Ek verstou o͡u nitt, ge͡j mott ĕn bedje harder gröte.;harder;a
