Adjektiv;Umlaut Standard;Stammvokal Standard;Silbenzahl Standard;Auslaut Standard;Auslaut Standard vereinfacht;Kommentar Auslaut Standard;Frequenz;Klasse;Quelle;Typ;Adjektiv VA;Silbenzahl VA;Stammvokal VA;Auslaut VA;Auslaut VA vereinfacht;Umlaut VA;Umlaut Jutz;Zitation Jutz;Kommentar Jutz
altklug;nein;u;2;M;M;;;;Nowak;Variationsfall (S. 80);;;;;;;;Jutz 1, 1245;keine Angabe zum UL
anmutig;nein;u;3;M;M;„mut“ als Kopf;;;Nowak;Fnhd. (S. 83);;;;;;;;;nicht belegt
bald;nein;a;1;SC;CC;;;;Nowak;Fnhd. (S. 83);bald;1;a;SC;CC;ja;ja;Jutz 1, 222;
bang;variabel;a;1;S;C;;;;Nowak;Variationsfall (S. 79);bang;1;a;SC;CC;;;Jutz 1, 231;keine Angabe zum UL
blass;variabel;a;1;C;C;;;;Nowak;Variationsfall (S. 79);blass;1;a;C;C;ja;;Jutz 1, 374–375;keine Angabe zum UL
blutarm;nein;a;2;M;M;„arm“ als Kopf;;;Nowak;Variationsfall (S. 80);;;;;;;;;nicht belegt
doof;nein;o;1;C;C;;;;Nowak;Korpusuntersuchung (S. 94);;;;;;;;;nicht belegt
forsch;nein;o;1;SC;CC;;;;Nowak;"Fnhd. (S. 83); Korpusuntersuchung (S. 94)";;;;;;;;;nicht belegt
fromm;variabel;o;1;S;C;;;;Nowak;Variationsfall (S. 79);fromm;1;o;S;C;ja;;Jutz 1, 1004 ;keine Angabe zum UL
gram;nein;a;1;S;C;;;;Nowak;Fnhd. (S. 83);;;;;;;;;nicht belegt
hager;nein;a;2;R;R;;;;Nowak;Fnhd. (S. 83);;;;;;;;Jutz 1, 1293 ;Adj. hägerisch belegt
harsch;nein;a;1;SC;CC;;;;Nowak;Korpusuntersuchung (S. 94);;;;;;;;Jutz 1, 1322;"nur als harsch(t)ig belegt; keine Angabe zum UL"
hold;nein;o;1;SC;CC;;;;Nowak;Fnhd. (S. 83);hold;1;o;SC;CC;nein;nein ;Jutz 1, 1430 ;"nur als holdselig belegt (Sp. 1430); keine Angabe zum UL"
kahl;nein;a;1;S;C;;;;Nowak;Fnhd. (S. 83);kahl;1;a;S;C;nein;nein ;Jutz 2, 4 ;"keine Angabe zum UL; „verbr., doch nicht volkstüml.“ (Sp. 4)"
kalorienarm;nein;a;4;M;M;Kompositum;;;Nowak;Variationsfall (S. 90);;;;;;;;;nicht belegt
karg;nein;a;1;SC;CC;;;;Nowak;Variationsfall (S. 79);;;;;;;;;nicht belegt
klug;ja;u;1;C;C;;;;Nowak;kein Variationsfall (S. 80);klug;1;u;C;C;;;Jutz 2, 95 ;"keine Angabe zum UL; „in der Regel dafür gescheit“ (Sp. 95)"
lahm;nein;a;1;S;C;;;;Nowak;Fnhd. (S. 83);lahm;1;a;S;C;ja;;Jutz 2, 208 ;keine Angabe zum UL
lose;nein;o;2;R;R;;;;Nowak;Fnhd. (S. 83);;;;;;;;Jutz 2, 299;keine Angabe zum UL
matt;nein;a;1;C;C;;;;Nowak;Fnhd. (S. 83);;;;;;;;;nicht belegt
plump;nein;u;1;SC;CC;;;;Nowak;Fnhd. (S. 83);;;;;;;;Jutz 1, 394 ;als Adj. nicht belegt (vgl. Jutz 1, 394)
sanft;nein;a;1;SCC;CCC;;;;Nowak;Fnhd. (S. 83);sanft;1;a;SCC;CCC;nein;;Jutz 2, 825 ;keine Angabe zum UL
schlaff;nein;a;1;C;C;;;;Nowak;Fnhd. (S. 83);schlaff;1;a;C;C;nein;;;nicht belegt
schlank;nein;a;1;SC;CC;;;;Nowak;"Fnhd. (S. 83); Korpusuntersuchung (S. 94)";schlank;1;a;SC;CC;ja;;;nicht belegt
straff;nein;a;1;C;C;;;;Nowak;Fnhd. (S. 83);straff;1;a;C;C;nein;;;nicht belegt
stumpf;nein;u;1;SC;CC;;;;Nowak;"Fnhd. (S. 83); Korpusuntersuchung (S. 94)";stumpf;1;u;SC;CC;ja;;Jutz 2, 1371 ;keine Angabe zum UL
lau;nein;au;1;kAL;kAL;;;;Nowak;Fnhd. (S. 83);lau;1;au;kAL;kAL;nein;;Jutz 2, 231;keine Angabe zum UL
lauter;nein;au;2;R;R;;;;Nowak;Fnhd. (S. 83);;;;;;;;;nicht belegt
